6,Sun,October 15,4:25PM ET,boxscore,W,,4-2,@,Kansas City Chiefs,19,13,23,439,245,194,1,12,251,223,28,,9.10,13.62,-13.13
7,Sun,October 22,4:25PM ET,boxscore,W,,5-2,,Cincinnati Bengals,29,14,21,420,268,152,,11,179,108,71,2,10.43,9.05,-4.14
8,Sun,October 29,8:30PM ET,boxscore,W,,6-2,@,Detroit Lions,20,15,17,392,317,75,2,21,482,411,71,1,7.88,-0.88,-0.42
10,Sun,November 12,1:00PM ET,boxscore,W,,7-2,@,Indianapolis Colts,20,17,18,316,228,88,1,13,267,196,71,1,3.64,4.91,-5.48
11,Thu,November 16,8:25PM ET,boxscore,W,,8-2,,Tennessee Titans,40,17,25,349,284,65,,17,316,264,52,4,10.02,10.68,4.56
12,Sun,November 26,8:30PM ET,boxscore,W,,9-2,,Green Bay Packers,31,28,28,462,341,121,3,15,307,227,80,,15.40,-11.73,-0.77
13,Mon,December 4,8:30PM ET,boxscore,W,,10-2,@,Cincinnati Bengals,23,20,24,374,282,92,1,19,353,223,130,,15.00,-7.63,-4.37
14,Sun,December 10,8:30PM ET,boxscore,W,,11-2,,Baltimore Ravens,39,38,31,545,486,59,,26,413,261,152,1,25.48,-23.83,1.92
15,Sun,December 17,4:25PM ET,boxscore,L,,11-3,,New England Patriots,24,27,21,413,270,143,1,21,360,283,77,1,12.04,-15.30,0.66
16,Mon,December 25,4:30PM ET,boxscore,W,,12-3,@,Houston Texans,34,6,20,330,226,104,,13,227,51,176,2,16.63,11.08,0.91
17,Sun,December 31,1:00PM ET,boxscore,W,,13-3,,Cleveland Browns,28,24,20,348,224,124,2,17,374,272,102,2,0.88,-3.23,4.30
